Dark_Store_ID,Zone,Store_Latitude,Store_Longitude
DS01,Connaught Place,28.6315,77.2167
DS02,Karol Bagh,28.6519,77.1909
DS03,Rohini,28.7495,77.0565
DS04,Pitampura,28.7033,77.1324
DS05,Punjabi Bagh,28.668,77.124
DS06,Dwarka,28.5921,77.046
DS07,Janakpuri,28.6219,77.0878
DS08,Rajouri Garden,28.6425,77.1221
DS09,Lajpat Nagar,28.5677,77.2431
DS10,Saket,28.5245,77.2066
DS11,Vasant Kunj,28.5244,77.1588
DS12,RK Puram,28.5632,77.1763
DS13,Mayur Vihar,28.6027,77.2942
DS14,Preet Vihar,28.6415,77.295
DS15,Shahdara,28.6735,77.2899
DS16,Noida Sector 18,28.5706,77.3272
DS17,Greater Noida,28.4744,77.504
DS18,Indirapuram,28.6468,77.3695
DS19,Vaishali,28.649,77.3397
DS20,Ghaziabad,28.6692,77.4538
DS21,Gurugram Cyber City,28.4959,77.088
DS22,DLF Phase 1,28.4753,77.1028
DS23,Sohna Road,28.4079,77.0408
DS24,Golf Course Road,28.4388,77.1018
DS25,Faridabad,28.4089,77.3178
DS26,Ballabgarh,28.3404,77.3162
DS27,Sonipat,28.9931,77.0151
DS28,Bahadurgarh,28.6921,76.9356
DS29,Narela,28.8527,77.0929
DS30,Chandni Chowk,28.6562,77.2303
