date,delay,distance,origin,destination
2026-01-05,10,2475,JFK,LAX
2026-01-05,-5,187,ORD,DTW
2026-01-06,35,733,SFO,SEA
2026-01-06,0,1090,DFW,ATL
2026-01-07,55,2475,JFK,LAX
2026-01-07,15,733,SFO,SEA
2026-01-08,-10,187,ORD,DTW
2026-01-08,42,1090,DFW,ATL
2026-01-09,8,2454,JFK,SFO
2026-01-09,65,733,SFO,SEA
2026-01-10,22,187,ORD,DTW
2026-01-10,-3,1090,DFW,ATL
2026-01-11,48,2454,JFK,SFO
2026-01-11,5,2475,JFK,LAX
2026-01-12,31,733,SFO,SEA
2026-01-12,12,187,ORD,DTW
2026-01-13,0,1090,DFW,ATL
2026-01-13,75,2454,JFK,SFO
2026-01-14,18,2475,JFK,LAX
2026-01-14,40,733,SFO,SEA
2026-01-15,-7,187,ORD,DTW
2026-01-15,27,1090,DFW,ATL
2026-01-16,52,2454,JFK,SFO
2026-01-16,9,2475,JFK,LAX
2026-01-17,36,733,SFO,SEA
2026-01-17,3,187,ORD,DTW
2026-01-18,14,1090,DFW,ATL
2026-01-18,68,2454,JFK,SFO
2026-01-19,25,2475,JFK,LAX
2026-01-19,44,733,SFO,SEA
